	time	id	like	sentiment	topic	text
279	Mon Nov 29 23:55:47 +0000 2021	1465469571633229826	5	-	CY	@HockeyPhone @CanceledFixxser @SassySemite @JustSkate23 @Cville300zxtt @JAGD94 @ZachGorski3 @Jason_9905 @Pride21American @CaptDaveUSCG @dan26022530 @KATHRYNNYR @doxie_jake @pvarrone9 @MisfitNewYorker @schwep_305 @yanksfan109 @flaguy12 @Howie6149 @SantangeloSteve @NYR73 @Agentsmith212 Yea well the Asslanders screwed up with the Soy positive covid test
280	Mon Nov 29 23:55:42 +0000 2021	1465469547993985026	0	/	CV	U.S. CDC says all adults should get COVID-19 booster shots #SmartNews  https://t.co/s1mk8Zkx5n
281	Mon Nov 29 23:56:40 +0000 2021	1465469795025969154	2	-	CY	"@rickman_luke @sIimjim82 @POTUS My mom lived, barely. The ashes were her husband. Cause of death was 9mm, a few days after surviving covid. Oddly, covid survivors have higher rates of suicide. Go figure."
282	Mon Nov 29 23:59:42 +0000 2021	1465470558229831684	73	-	CR	"Just landed in Adelaide. What a complete circus! 🤡  After funnelling the first 30 people on the flight to go through the airport covid check desks, they let all the passengers from the back half of the plane to freely walk out!! 🤣"
283	Mon Nov 29 23:58:55 +0000 2021	1465470358870499331	1	/	PL	"i physically i CANNOT STOP watching that, i know i say big words about my emotions all the time but you don’t get it the whole universe shifted somehow and even if there was nothing else post-covid i would just be grateful to have this, only this,"
284	Mon Nov 29 23:57:41 +0000 2021	1465470049804701698	6	-	CY	@The_Real_Fly Covid is now a subscription
285	Mon Nov 29 23:58:13 +0000 2021	1465470181648605190	0	-	CR	"@BorisJohnson U isolate everyone in the household if 1 tests positive, honestly! Who makes ur ridiculous rules and what drugs r u all on? 🤯 Face masks in shops but not pubs, one kids has covid yet siblings can go to school to spread it until they test positive 🙈 how is any of that logical?"
286	Mon Nov 29 23:59:51 +0000 2021	1465470593025859590	0	-	CS	"My condolences 💐 to the families, loved ones 🥰 , friends and communities of these 41 people who we lost 😞 to COVID-19.  Their absence will be deeply felt. https://t.co/8rBxNYCkwP https://t.co/RxvTwSmAQ0"
287	Mon Nov 29 23:58:03 +0000 2021	1465470141412511747	0	-	CT	@ctvedmonton The new mutated India virus running wild in Alberta and Canada. Daily covid positive numbers 40% of fully vaccinated people and that will move too 80% by Christmas. Jan 15 Alberta will see tip of 5th covid wave same across Canada. Prepare yourselves for another LONG COVID WINTER
289	Mon Nov 29 23:58:33 +0000 2021	1465470266553864199	0	+	CV	Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/t9LqaiJ5XK
290	Mon Nov 29 23:59:10 +0000 2021	1465470422590242818	2	-	CY	"You guys have to understand, to the US economy is more important in the face of COVID-19 #OmicronVariant and do not want  people to panic."
291	Mon Nov 29 23:55:09 +0000 2021	1465469411783950339	1	+	CR	Japan to bar new foreign arrivals over Covid-19 Omicron variant: PM Kishida https://t.co/5kTo0MczcF
293	Mon Nov 29 23:58:25 +0000 2021	1465470234953846793	0	-	CY	@SatOShea @Dennis_Porter_ There’s also no nuance to the fact that the vaccine companies are being omitted of liability and tax payer money is making them billions + policy is removing bodily autonomy inspite of the other fact- Pfizer is the culprit of the largest corporate criminal settlement in history.
294	Mon Nov 29 23:58:54 +0000 2021	1465470355565420546	29	/	CV	@POTUS $OCGN #COVAXIN ... Give the American people other options especially if you plan on forcing vaccinations (which is obsurd) Lets see if you remove all roadblocks like you say. @Ocugen @US_FDA @RepThomasMassie
295	Mon Nov 29 23:55:08 +0000 2021	1465469407015092233	0	+	CY	"@ygkregular @Perry71103419 @debbykitty23 @KFLAPH @MOHKFLA @MayorPaterson Oh-there you are… 🤦🏼‍♀️ COVID-19 is not 99.8% ‘survivable’, and you know it. If there’s new information out there perhaps you would like to share &amp; provide a link??  Otherwise, same old ‘Facebook factoid’, eh?  Folks, Please do your research!  Have a good evening everyone! 👍🏼💉"
296	Mon Nov 29 23:59:00 +0000 2021	1465470380018216962	1	-	CV	@maxbiaggi30 Our transmission rates have skyrocketed since we've come close to full vaccination. It appears the vaccines provide nothing more than a false sense of security.
297	Mon Nov 29 23:55:55 +0000 2021	1465469602574442496	0	/	CT	"Singapore tracking Omicron Covid-19 variant closely, may be forced to take steps back: PM Lee https://t.co/VpNTUvxkkA"
298	Mon Nov 29 23:58:51 +0000 2021	1465470343921815560	49	+	CV	Colorado's state health department @cdphe says 20.6% of Colorado 5 - 11 year-olds have received at least one dose of the COVID-19 vaccine. That's nearly 100k since vaccinations began for that group a few weeks ago.
300	Mon Nov 29 23:58:46 +0000 2021	1465470323504074760	0	-	CP	"Omicron expected to arrive in NYC, COVID masks should be worn indoors ‘at all times,’ city’s top doctor says  https://t.co/9JvcCdszKX  The Sky Is Falling! The Sky Is Falling!!"
301	Mon Nov 29 23:58:59 +0000 2021	1465470376566308867	0	-	CY	@jhops771 @AlpineKen @mkolken bullshit. 100% bullshit. the number of covid deaths tracks PERFECTLY to the anomaly in the deathcount in the us last year. did people have other conditions when they died of covid? maybe yes. would they still be alive today without covid? most likely.
302	Mon Nov 29 23:57:25 +0000 2021	1465469984012865538	0	-	CL	Bill Gates Charged with Murder for COVID-19 Vaccine Death in India’s High Court – Death Penalty Sought https://t.co/0o2ZM8nlGv
303	Mon Nov 29 23:57:00 +0000 2021	1465469878291382287	1	-	CV	@phoebelu Shouldn’t even be a debate. No vaccination…no transplant.  Heck…no treatment at all. Science deniers sure run for medical science when they are affected. https://t.co/uTS9R3jzYE
304	Mon Nov 29 23:55:14 +0000 2021	1465469432478638084	5	+	CV	"3rd dose of Pfizer, let’s do this"
305	Mon Nov 29 23:59:06 +0000 2021	1465470404818964482	0	+	CR	@ArbyHyde @Count_Truculent Not so sure we gave up..just played horses for courses. The original plan was put in place for Covid-1..with Delta it needed to change. Cause and effect are tough taskmasters.
306	Mon Nov 29 23:55:25 +0000 2021	1465469478364450827	30	/	CV	@POTUS Does that mean we are going to see Covaxin available to the American public? Sure would get many hesitant ppl another choice to get vaccinated!
324	Mon Nov 29 23:59:15 +0000 2021	1465470443628994566	0	-	CL	"@RonnyJacksonTX Lol, South Africa is trying to interfere with our elections for the democrats? Even if what you say were remotely true, (a year in advance🤣) safety first is better than a Trump take, which is, get out and vote for GOP &amp; then you can get covid and die b/c we don’t care about you."
330	Mon Nov 29 23:55:40 +0000 2021	1465469541211787266	0	/	CY	"@jemillerwbal Yes everyone with smarts want to get vaccinated and see the end of Covid. But with new viruses popping up worldwide. All Americans can do is follow the health organizations, Biden, Democrats. The Republicans have nothing to offer but a lotta criticism and BS talk."
333	Mon Nov 29 23:57:23 +0000 2021	1465469972285644801	0	/	CV	Will the vaccines protect against the new omicron variant? Your COVID-19 questions answered. https://t.co/ApStuTdVEf
337	Mon Nov 29 23:56:39 +0000 2021	1465469790198407178	0	-	PL	I got covid.
368	Mon Nov 29 23:55:02 +0000 2021	1465469383765991426	0	/	CR	We need a full 2 week minimum lockdown and immediate lockout of foreign arrivals (incl Aus citizens) to stop Omicron spreading. This has the potential to be an extinction level mutation. Lock everything down and pay everyone to stay home. #coronavirus #auspol #covidvariant
384	Mon Nov 29 23:54:33 +0000 2021	1465469258633154561	7	-	CV	@PureJai_ @222sally @POTUS That’s https://t.co/9ICjVFwF7b son’s basketball team traveled &amp; every child that wasn’t vaccinated got Covid pretty darn badly at age 14. Those vaccinated didn’t get it at all. There were 13 players and only 6 were vaccinated.The other 7 got the vaccine as soon as they were well!
395	Mon Nov 29 23:57:31 +0000 2021	1465470006540468234	0	-	CL	"@wbz @HagerWBZ @CNN @MSNBC @FOXNEWS Sadly, U.S. is closing in on 3 years of the deadly Trump Virus with dishonorable @SenateGOP @HouseGOP Republicans disavowing THEY were first in line for Covid Shots and still spinelessly discouraging their gullible 'Red Hats' not to vaccinate! Criminal @GOP!! https://t.co/83ovmUNZoy"
398	Mon Nov 29 23:54:24 +0000 2021	1465469222360793089	0	/	CT	VACCINATION: What does appearance of #Omicron variant mean for the double-vaccinated? https://t.co/UAY6mKx7q1
402	Mon Nov 29 23:55:30 +0000 2021	1465469499814072320	0	-	CT	"When you can't convince them with COVID throw a scarier name at them, Omicron variant The only variant is that those who are NOT vax/masked are healthy mentally and physically-the rest are graphene oxidized AI https://t.co/hXa49wY4Ox"
403	Mon Nov 29 23:55:27 +0000 2021	1465469488732717067	0	-	CS	Misrepresentation of statistics..? Colour me shocked..  #Omicron #OmicronVariant #covidvariant #COVID19 #coronavirus https://t.co/bvH3JJv1Yy https://t.co/DGSs7ORdqE
410	Mon Nov 29 23:55:05 +0000 2021	1465469395543769088	1	-	CL	"Why did Biden Administration throw away over 40,000 unused doses  of Coronavirus Vaccine that became outdated instead of donating them to other nations before expiration Is this part of “Biden Plan”?Now 100k more dead than last year Total Failure"
411	Mon Nov 29 23:58:48 +0000 2021	1465470330454122501	1	/	CL	@GOP No he didn't. He never said he had the power to eradicate the Coronavirus because that's ridiculous.
415	Mon Nov 29 23:55:38 +0000 2021	1465469532605190151	2	/	CT	"The Omicron Covid variant is no excuse for new lockdowns or vaccine mandates, as New York Gov. Kathy Hochul’s damage to hospitals shows. https://t.co/0tllwAOBrA"
418	Mon Nov 29 23:59:00 +0000 2021	1465470381591076865	0	/	CT	"WHO flags Omicron risk, travel curbs tighten, Biden urges vaccination https://t.co/SIS6mz28f4"
420	Mon Nov 29 23:58:23 +0000 2021	1465470223268593670	71	-	CY	@POTUS Please stop paying for the COVID-related health care of those not vaccinated by choice.
425	Mon Nov 29 23:57:35 +0000 2021	1465470024131530761	1	-	CL	"@NickMira110 @Communigirl @POTUS I know right? Remember when he was arrested on that yacht of that Chinese billionaire?  Oh wait no, that was Trump's strategist Steve Bannon.  Remember when Biden praised Xi for his ""transparency"" as COVID raged through the US? Oh wait, that was Trump!  https://t.co/VNzX55Pup8"
430	Mon Nov 29 23:58:18 +0000 2021	1465470205488943107	0	-	CL	"@ltgrusselhonore @POTUS @CDCgov @JoeNBC @WHCOS @MSNBC @CNN @CBSNews @ABC Poetic Justice may come to China.   If the Omicron version of Covid shuts down the 2022 Olympics, it will show China you don’t hide information from the World because it will come back haunt you."
442	Mon Nov 29 23:59:51 +0000 2021	1465470592614817797	1	/	CT	Why WHO skipped two letters of the Greek alphabet in naming Omicron https://t.co/xPJ1TS3pLP
446	Mon Nov 29 23:55:04 +0000 2021	1465469389545869316	1	/	CV	Omicron variant: CDC recommends COVID-19 booster for all adults amid latest threat https://t.co/MH6ZVMW8E3
447	Mon Nov 29 23:58:47 +0000 2021	1465470328004431874	2	-	CP	@denniallen I note several who marched last weekend now with COVID. How stupid are these people- marching close together with no masks and many unvaccinated. It’s like a mass attempt at suicide. Only trouble is they may infect innocent people.
448	Mon Nov 29 23:54:32 +0000 2021	1465469255013392385	0	/	CL	"Beltway Insider: Biden, Putin/China, COVID/Vaccine Totals, Strickland/Arbery, Steven Sondheim https://t.co/yiW2O7NbWC"
454	Mon Nov 29 23:54:40 +0000 2021	1465469289662763012	0	-	CL	@RNCResearch @GOP Trump shutting down the coronavirus: https://t.co/WlXgR4Q7lb
459	Mon Nov 29 23:57:27 +0000 2021	1465469991000678411	0	/	CT	"@JimMack1211 @ltgrusselhonore @POTUS @CDCgov @JoeNBC @WHCOS @MSNBC @CNN @CBSNews @ABC Poetic Justice may come to China.   If the Omicron version of Covid shuts down the 2022 Olympics, it will show China you don’t hide information from the World because it will come back haunt you."
462	Mon Nov 29 23:55:08 +0000 2021	1465469409393315842	11	/	CT	"The next wave of COVID being called ""The Omicron Variant"" has me thinking of this every time I hear about it.  Thanks, Futurama. https://t.co/tPMPLZPuOu"
467	Mon Nov 29 23:58:00 +0000 2021	1465470128804532224	0	/	CT	"""The New Omicron Coronavirus Variant Is ‘Highly Mutated’ What Does This Mean?"" https://t.co/8D97xuZ5wp #health #pharma"
469	Mon Nov 29 23:59:36 +0000 2021	1465470533135323139	0	-	CT	@ndtv Wating a day discovering the zulu varient and end of the covid era! Fucked from alpha ~zulu hysteria !
471	Mon Nov 29 23:59:56 +0000 2021	1465470614370615304	1	-	CL	"@williambrady12x @POTUS Hypothermia, COVID. I see the correlation"
476	Mon Nov 29 23:56:38 +0000 2021	1465469783399272451	1	-	CL	WATCH OUT FOR ONLINE VOTING EXPANSION:? Here we go again! Democrats are getting ready to rig &amp; to cheat the election! They’re not letting a good covid crisis go to waste.  @SteveSebelius @rgj  @SarahAshtonLV #RJNow @lasvegassun @jjauthor @blakeapgar @meganmesserly @reviewjournal https://t.co/OcJPziKCs5
477	Mon Nov 29 23:54:32 +0000 2021	1465469257324576780	0	/	CT	Rep. Grothman to Newsmax: Omicron Brings New Worries on Immigrant Testing | https://t.co/PHcRJbPPmc https://t.co/Hp4p6TTp4C
479	Mon Nov 29 23:59:33 +0000 2021	1465470517218103298	2	+	CV	"How are they planning to convince the anti-vaxers?  How many more who were anti-vax do we have to see die on video, crying that they were wrong?  All vaccinated adults should get a Covid-19 booster shot because of the Omicron variant, CDC says https://t.co/16xR1hcJFx"
480	Mon Nov 29 23:54:54 +0000 2021	1465469347397181443	0	-	CT	"GENEVA (AP) — The World Health Organization warned Monday that the global risk from the omicron variant is “very high” based on the early evidence, saying the mutated coronavirus could lead to surges with “severe consequences.” https://t.co/3F0eGIVCBX"
482	Mon Nov 29 23:54:48 +0000 2021	1465469324005720081	0	/	CT	New COVID Variant Detected in Multiple Countries https://t.co/i6P1U04bj9
485	Mon Nov 29 23:56:14 +0000 2021	1465469684757630976	0	/	CT	First cases of Omicron COVID-19 variant detected in Canada: What we know https://t.co/pbS5BQYhtQ via @CTVNews
486	Mon Nov 29 23:57:43 +0000 2021	1465470058377973761	1	/	CV	@jackmjenkins Was not great with second shot. No side effects save some soreness third shot (also Moderna all the way). Got flu shot with the booster (not recommended).
487	Mon Nov 29 23:59:58 +0000 2021	1465470621945671685	1	/	CT	How to go viral? Just be a COVID-19 mutation #Omicron: Everyone will talk about you. Make fun of you. Will gossip about you. Will create bullshit around you. Will die for or with you and get invested with you. A few days after your birth you will be world famous! think about it! https://t.co/LsSFgu2Wcc
489	Mon Nov 29 23:57:40 +0000 2021	1465470045006479364	0	/	CV	"Researchers Review COVID Database, Make a Huge Discovery When They Exclude Vaccinated People via @WestJournalism https://t.co/SpW6UIF143"
491	Mon Nov 29 23:59:40 +0000 2021	1465470547748339716	2	-	CS	"The sad reality of this virus 🦠  ▪️More than 775,000 people in the 🇺🇸  have died from COVID-19. ▪️Left behind are tens of thousands of children — some orphaned entirely — after the parent or grandparent who cared for them died 🥲🥲   https://t.co/h4JNrDdTMH"
492	Mon Nov 29 23:58:22 +0000 2021	1465470222458974208	8	/	CV	I know young kids generally do not experience severe disease with Covid so I was never panicking about my nine year old. But I don’t think I fully realized how worried I was until I booked her appointment today and the floodgates opened. Just so grateful to science!
493	Mon Nov 29 23:59:24 +0000 2021	1465470480614182915	0	/	CV	@segrivas @NSWHealth Lol yes just cause you're vaccinated doesn't mean you don't get covid....
495	Mon Nov 29 23:59:55 +0000 2021	1465470610998697985	0	/	CY	Jim Cramer’s investment playbook for the Covid omicron variant - https://t.co/V8U1gjxCg9
496	Mon Nov 29 23:56:44 +0000 2021	1465469812197531648	218	-	CT	New variant to be blamed for heart symptoms occurring due to jabs https://t.co/D8Mhd48sya
497	Mon Nov 29 23:56:00 +0000 2021	1465469625269952518	0	/	CV	All city employees of Langley will soon need to follow a new vaccination rule that has been set in response to the pandemic.  https://t.co/jVETOcFwbN
498	Mon Nov 29 23:56:08 +0000 2021	1465469659612917763	0	/	CV	CDC Strengthens Advice for Boosters as Omicron Variant Spreads Globally https://t.co/ubN5SOFvmU   New.
499	Mon Nov 29 23:54:34 +0000 2021	1465469265155403777	0	-	CV	"@lezzlemynezzle @BGHokie01 @leballonrogue @Acyn Relative immunity is not something I've been following, and I've no comment on the merit or applicability of those Israeli studies. Natural immunity implies infection, so it isn't a strategy to seek, but its effectiveness does merit consideration regarding vaccination mandates."
